region,date,set,habitat,Paired,sz_orgnsm,count,rel_abun,rel_abun_per
Fraser,2016-07-12,2.1,Eel,NA,1_Gammarid,5.333333333,0.007905138,0.7905138
Fraser,2016-07-12,2.1,Eel,NA,1_Phyllodocida,5.333333333,0.007905138,0.7905138
Fraser,2016-07-12,2.1,Eel,NA,1_Appendicularia,10.66666667,0.015810277,1.5810277000000001
Fraser,2016-07-12,2.1,Eel,NA,1_Harpac,104.0,0.154150198,15.4150198
Fraser,2016-07-12,2.1,Eel,NA,1_Calanoid,546.6666667,0.81027668,81.02766799999999
Fraser,2016-07-12,2.1,Eel,NA,1_Mysida,2.666666667,0.003952569,0.3952569
Fraser,2016-07-12,1.1,Eel,NA,1_Gammarid,4.444444444,0.009049774,0.9049774
Fraser,2016-07-12,1.1,Eel,NA,1_Cladoceran,17.77777778,0.036199095,3.6199095
Fraser,2016-07-12,1.1,Eel,NA,1_Appendicularia,13.33333333,0.027149321,2.7149321
Fraser,2016-07-12,1.1,Eel,NA,1_Harpac,371.1111111,0.755656109,75.5656109
Fraser,2016-07-12,1.1,Eel,NA,1_Calanoid,77.77777778,0.158371041,15.8371041
Fraser,2016-07-12,1.1,Eel,NA,1_Cumacea,2.222222222,0.004524887,0.4524887
Fraser,2016-07-12,1.1,Eel,NA,1_Brachyura,4.444444444,0.009049774,0.9049774
Fraser,2016-07-12,1.1,Eel,NA,1_Barnacle,20.0,0.040723982,4.0723982
Fraser,2016-06-25,2.1,No_Eel,NA,1_Cladoceran,2.667,0.003448705,0.34487049999999997
Fraser,2016-06-25,2.1,No_Eel,NA,1_Phyllodocida,13.33333333,0.017241372,1.7241372000000001
Fraser,2016-06-25,2.1,No_Eel,NA,1_Appendicularia,58.66666667,0.075862036,7.586203599999999
Fraser,2016-06-25,2.1,No_Eel,NA,1_Cyclopoid,2.666666667,0.003448274,0.3448274
Fraser,2016-06-25,2.1,No_Eel,NA,1_Harpac,282.6666667,0.365517084,36.5517084
Fraser,2016-06-25,2.1,No_Eel,NA,1_Calanoid,386.6666667,0.499999784,49.9999784
Fraser,2016-06-25,2.1,No_Eel,NA,1_Mysida,2.666666667,0.003448274,0.3448274
Fraser,2016-06-25,2.1,No_Eel,NA,1_Cnetophora,13.33333333,0.017241372,1.7241372000000001
Fraser,2016-06-25,2.1,No_Eel,NA,1_Echinoderm,10.66666667,0.013793098,1.3793098
Fraser,2016-06-25,2.1,Eel,NA,10_Cnetophora,1.0,0.001070664,0.1070664
Fraser,2016-06-25,2.1,Eel,NA,2_Gammarid,2.0,0.002141328,0.2141328
Fraser,2016-06-25,2.1,Eel,NA,2_Harpac,1.0,0.001070664,0.1070664
Fraser,2016-06-25,2.1,Eel,NA,1_Gammarid,10.0,0.010706638,1.0706638
Fraser,2016-06-25,2.1,Eel,NA,1_Cladoceran,22.0,0.023554604,2.3554604
Fraser,2016-06-25,2.1,Eel,NA,1_Phyllodocida,10.0,0.010706638,1.0706638
Fraser,2016-06-25,2.1,Eel,NA,1_Appendicularia,30.0,0.032119914,3.2119914
Fraser,2016-06-25,2.1,Eel,NA,1_Harpac,364.0,0.389721627,38.9721627
Fraser,2016-06-25,2.1,Eel,NA,1_Calanoid,484.0,0.518201285,51.820128499999996
Fraser,2016-06-25,2.1,Eel,NA,1_Barnacle,10.0,0.010706638,1.0706638
Fraser,2016-06-25,1.1,No_Eel,NA,1_Cladoceran,3.0,0.004958678,0.4958678
Fraser,2016-06-25,1.1,No_Eel,NA,1_Phyllodocida,7.0,0.011570248,1.1570248
Fraser,2016-06-25,1.1,No_Eel,NA,1_Appendicularia,41.0,0.067768595,6.7768595000000005
Fraser,2016-06-25,1.1,No_Eel,NA,1_Harpac,248.0,0.409917355,40.9917355
Fraser,2016-06-25,1.1,No_Eel,NA,1_Calanoid,281.0,0.46446281,46.446281
Fraser,2016-06-25,1.1,No_Eel,NA,1_Mysida,3.0,0.004958678,0.4958678
Fraser,2016-06-25,1.1,No_Eel,NA,1_Echinoderm,6.0,0.009917355,0.9917354999999999
Fraser,2016-06-25,1.1,No_Eel,NA,1_Barnacle,16.0,0.026446281,2.6446281
Fraser,2016-06-25,1.1,Eel,NA,2_Gammarid,5.0,0.002003205,0.2003205
Fraser,2016-06-25,1.1,Eel,NA,2_Cladoceran,2.0,8.01282e-4,0.0801282
Fraser,2016-06-25,1.1,Eel,NA,1_Gammarid,32.0,0.012820513,1.2820513
Fraser,2016-06-25,1.1,Eel,NA,1_Cladoceran,56.0,0.022435897,2.2435897
Fraser,2016-06-25,1.1,Eel,NA,1_Phyllodocida,24.0,0.009615385,0.9615385000000001
Fraser,2016-06-25,1.1,Eel,NA,1_Appendicularia,32.0,0.012820513,1.2820513
Fraser,2016-06-25,1.1,Eel,NA,1_Harpac,952.0,0.381410256,38.1410256
Fraser,2016-06-25,1.1,Eel,NA,1_Calanoid,1368.0,0.548076923,54.8076923
Fraser,2016-06-25,1.1,Eel,NA,1_Barnacle,24.0,0.009615385,0.9615385000000001
Fraser,2016-06-25,1.1,Eel,NA,1_Brachyura,1.0,4.00641e-4,0.0400641
Fraser,2016-06-11,1.1,Eel,NA,2_Harpac,1.0,0.004273504,0.4273504
Fraser,2016-06-11,1.1,Eel,NA,2_Calanoid,2.0,0.008547009,0.8547009
Fraser,2016-06-11,1.1,Eel,NA,1_Phyllodocida,3.0,0.012820513,1.2820513
Fraser,2016-06-11,1.1,Eel,NA,1_Harpac,113.0,0.482905983,48.2905983
Fraser,2016-06-11,1.1,Eel,NA,1_Calanoid,115.0,0.491452991,49.1452991
Fraser,2016-06-11,1.1,No_Eel,NA,1_Cladoceran,216.0,0.101503759,10.1503759
Fraser,2016-06-11,1.1,No_Eel,NA,1_Appendicularia,32.0,0.015037594,1.5037593999999999
Fraser,2016-06-11,1.1,No_Eel,NA,1_Harpac,328.0,0.154135338,15.413533800000002
Fraser,2016-06-11,1.1,No_Eel,NA,1_Calanoid,1464.0,0.687969925,68.7969925
Fraser,2016-06-11,1.1,No_Eel,NA,1_Barnacle,88.0,0.041353383,4.1353383
Fraser,2016-06-11,2.1,No_Eel,NA,1_Cladoceran,73.0,0.226708075,22.670807500000002
Fraser,2016-06-11,2.1,No_Eel,NA,1_Appendicularia,21.0,0.065217391,6.5217391
Fraser,2016-06-11,2.1,No_Eel,NA,1_Calanoid,204.0,0.633540373,63.3540373
Fraser,2016-06-11,2.1,No_Eel,NA,1_Mysida,2.0,0.00621118,0.6211180000000001
Fraser,2016-06-11,2.1,No_Eel,NA,1_Barnacle,10.0,0.031055901,3.1055901
Fraser,2016-06-11,2.1,No_Eel,NA,1_Phyllodocida,12.0,0.037267081,3.7267081
Fraser,2016-06-11,2.1,Eel,NA,1_Cladoceran,200.0,0.047619048,4.7619048
Fraser,2016-06-11,2.1,Eel,NA,1_Phyllodocida,20.0,0.004761905,0.4761905
Fraser,2016-06-11,2.1,Eel,NA,1_Appendicularia,20.0,0.004761905,0.4761905
Fraser,2016-06-11,2.1,Eel,NA,1_Harpac,1660.0,0.395238095,39.5238095
Fraser,2016-06-11,2.1,Eel,NA,1_Calanoid,1880.0,0.447619048,44.7619048
Fraser,2016-06-11,2.1,Eel,NA,1_Barnacle,420.0,0.1,10.0
Fraser,2016-05-27,1.1,No_Eel,1,2_Phyllodocida,1.0,7.5643e-4,0.075643
Fraser,2016-05-27,1.1,No_Eel,1,2_Appendicularia,1.0,7.5643e-4,0.075643
Fraser,2016-05-27,1.1,No_Eel,1,1_Cladoceran,786.0,0.594553707,59.455370699999996
Fraser,2016-05-27,1.1,No_Eel,1,1_Gastropod,15.0,0.011346445,1.1346445
Fraser,2016-05-27,1.1,No_Eel,1,1_Appendicularia,30.0,0.02269289,2.269289
Fraser,2016-05-27,1.1,No_Eel,1,1_Echinoderm,6.0,0.004538578,0.4538578
Fraser,2016-05-27,1.1,No_Eel,1,1_Harpac,66.0,0.049924357,4.992435700000001
Fraser,2016-05-27,1.1,No_Eel,1,1_Calanoid,339.0,0.256429652,25.6429652
Fraser,2016-05-27,1.1,No_Eel,1,1_Brachyura,3.0,0.002269289,0.2269289
Fraser,2016-05-27,1.1,No_Eel,1,1_Barnacle,75.0,0.056732224,5.6732224
Fraser,2016-05-27,2.1,No_Eel,1,1_Appendicularia,300.0,0.080645161,8.0645161
Fraser,2016-05-27,2.1,No_Eel,1,1_Valvifera,60.0,0.016129032,1.6129032
Fraser,2016-05-27,2.1,No_Eel,1,1_Harpac,370.0,0.099462366,9.946236599999999
Fraser,2016-05-27,2.1,No_Eel,1,1_Calanoid,590.0,0.158602151,15.8602151
Fraser,2016-05-27,2.1,No_Eel,1,1_Cladoceran,2360.0,0.634408602,63.4408602
Fraser,2016-05-27,2.1,No_Eel,1,1_Barnacle,40.0,0.010752688,1.0752688
Fraser,2016-05-27,1.1,Eel,1,2_Gammarid,3.0,3.31712e-4,0.0331712
Fraser,2016-05-27,1.1,Eel,1,2_Natantia,1.0,1.10571e-4,0.0110571
Fraser,2016-05-27,1.1,Eel,1,1_Cladoceran,3693.333333,0.408373876,40.8373876
Fraser,2016-05-27,1.1,Eel,1,1_Harpac,426.6666667,0.047176765,4.7176765000000005
Fraser,2016-05-27,1.1,Eel,1,1_Calanoid,4160.0,0.459973463,45.997346300000004
Fraser,2016-05-27,1.1,Eel,1,1_Mysida,53.33333333,0.005897096,0.5897096000000001
Fraser,2016-05-27,1.1,Eel,1,1_Barnacle,706.6666667,0.078136518,7.813651800000001
Fraser,2016-05-27,2.1,Eel,1,1_Cladoceran,648.75,0.492877493,49.2877493
Fraser,2016-05-27,2.1,Eel,1,1_Appendicularia,41.25,0.031339031,3.1339031000000004
Fraser,2016-05-27,2.1,Eel,1,1_Echinoderm,7.5,0.005698006,0.5698006
Fraser,2016-05-27,2.1,Eel,1,1_Harpac,116.25,0.088319088,8.8319088
Fraser,2016-05-27,2.1,Eel,1,1_Calanoid,408.75,0.310541311,31.0541311
Fraser,2016-05-27,2.1,Eel,1,1_Mysida,7.5,0.005698006,0.5698006
Fraser,2016-05-27,2.1,Eel,1,1_Brachyura,3.75,0.002849003,0.2849003
Fraser,2016-05-27,2.1,Eel,1,1_Cnetophora,3.75,0.002849003,0.2849003
Fraser,2016-05-27,2.1,Eel,1,1_Barnacle,78.75,0.05982906,5.982906000000001
Fraser,2016-05-11,1.1,Eel,NA,1_Cladoceran,182.0,0.197826087,19.7826087
Fraser,2016-05-11,1.1,Eel,NA,1_Phyllodocida,43.0,0.04673913,4.673913
Fraser,2016-05-11,1.1,Eel,NA,1_Harpac,273.0,0.29673913,29.673913000000002
Fraser,2016-05-11,1.1,Eel,NA,1_Calanoid,401.0,0.435869565,43.5869565
Fraser,2016-05-11,1.1,Eel,NA,1_Mysida,7.0,0.007608696,0.7608696
Fraser,2016-05-11,1.1,Eel,NA,1_Cumacea,9.0,0.009782609,0.9782609
Fraser,2016-05-11,1.1,Eel,NA,1_Brachyura,4.0,0.004347826,0.4347826
Fraser,2016-05-11,1.1,Eel,NA,2_Gammarid,1.0,0.001086957,0.10869569999999999
Fraser,2016-05-11,2.1,Eel,NA,1_Gammarid,32.0,0.018691589,1.8691589000000002
Fraser,2016-05-11,2.1,Eel,NA,1_Appendicularia,16.0,0.009345794,0.9345794
Fraser,2016-05-11,2.1,Eel,NA,1_Harpac,360.0,0.210280374,21.0280374
Fraser,2016-05-11,2.1,Eel,NA,1_Calanoid,1176.0,0.686915888,68.6915888
Fraser,2016-05-11,2.1,Eel,NA,1_Phyllodocida,24.0,0.014018692,1.4018692
Fraser,2016-05-11,2.1,Eel,NA,1_Cladoceran,104.0,0.060747664,6.0747664
Fraser,2016-05-11,1.1,No_Eel,1,10_Gammarid,1.0,0.002197802,0.2197802
Fraser,2016-05-11,1.1,No_Eel,1,1_Gammarid,3.0,0.006593407,0.6593407
Fraser,2016-05-11,1.1,No_Eel,1,1_Cladoceran,197.0,0.432967033,43.2967033
Fraser,2016-05-11,1.1,No_Eel,1,1_Valvifera,1.0,0.002197802,0.2197802
Fraser,2016-05-11,1.1,No_Eel,1,1_Phyllodocida,5.0,0.010989011,1.0989011
Fraser,2016-05-11,1.1,No_Eel,1,1_Harpac,159.0,0.349450549,34.9450549
Fraser,2016-05-11,1.1,No_Eel,1,1_Calanoid,68.0,0.149450549,14.945054899999999
