Bedwell Eel 04-28,Bedwell Eel 05-11,Bedwell Eel 05-27,Bedwell Eel 06-09,Bedwell NonEel 04-14,Bedwell NonEel 05-27,Fraser Eel 03-30,Fraser Eel 04-16,Fraser Eel 04-30,Fraser Eel 05-11,Fraser Eel 05-27,Fraser Eel 06-11,Fraser Eel 06-25,Fraser Eel 07-12,Fraser NonEel 03-30,Fraser NonEel 04-16,Fraser NonEel 04-30,Fraser NonEel 05-11,Fraser NonEel 05-27,Fraser NonEel 06-11,Fraser NonEel 06-25,Fraser NonEel 07-12,Koeye Eel 04-30,Koeye Eel 05-11,Koeye Eel 06-11,Koeye Eel 07-09,Koeye Eel 08-07,Koeye NonEel 04-30,Koeye NonEel 05-11,Koeye NonEel 06-11,Koeye NonEel 07-09,Koeye NonEel 08-07,Qualicum Eel 04-11,Qualicum Eel 04-25,Qualicum Eel 05-10,Qualicum Eel 05-25,Qualicum Eel 06-06,Qualicum Eel 06-22,Qualicum Eel 07-06,Qualicum NonEel 04-11,Qualicum NonEel 04-25,Qualicum NonEel 05-10,Qualicum NonEel 05-25,Qualicum NonEel 06-06,Qualicum NonEel 06-22,Tahsis Eel 05-10,Tahsis Eel 05-26,Tahsis Eel 06-08,Tahsis Eel 06-23,Tahsis NonEel 05-10,Tahsis NonEel 05-26,Tahsis NonEel 06-08,Tahsis NonEel 06-23
0.0,0.0,0.0,0.0,16.6666667,0.0,0.0,0.48564130000000005,0.0,0.0,3.1339031000000004,0.4761905,2.24702135,2.1479799,0.0,0.7025761,4.422458649999999,0.0,5.1346445,4.01274925,7.18153155,1.6173348500000002,0.0,1.4492754,0.0,7.692307700000001,0.0,0.0,0.0,0.0,0.0,0.7874015999999999,0.46224960000000004,2.6520257,8.1967213,0.0,0.0,0.0,0.0,0.0,0.0,0.7518796999999999,0.0,0.3846154,0.2544529,0.0,0.0,0.50122195,0.9461857,0.0,1.3445378,0.9881423,1.3100437
0.0,0.0,0.0,0.0,0.0,0.0,1.1355144,0.8559776,20.729927,0.0,6.898278900000001,10.0,1.01610115,4.0723982,0.0,1.8735363,10.6524716,0.0,3.36994455,3.6204642,2.6446281,5.4889471499999996,0.0,17.15210355,0.0,0.0,0.0,0.0,10.7142857,5.084745799999999,0.0,0.0,0.0,0.0,0.0,0.4608295,0.0,0.0,0.0,0.0,0.0,0.0,1.5717092,3.1695721000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4240283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826,0.2849003,0.0,0.0400641,0.9049774,0.0,0.0,0.0,0.0,0.2269289,0.0,0.0,1.2738854000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2258065,1.1627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202799,0.0,0.0,0.0,0.0,0.0
0.0,2.3391813,0.0,5.8139535,25.6823461,1.3605442,56.40490355,46.9332079,38.608743849999996,43.5869565,38.525738700000005,46.95360195000001,53.3139104,48.43238605,69.72648065,76.3466042,53.4862557,14.945054899999999,20.68814925,66.0755149,48.2231297,31.3163482,1.8867925,28.0216688,0.6944444,15.8653846,0.2439056,0.0,83.73015875,42.1307506,2.5,0.94463425,17.257319,6.1436744,7.6734485,6.68202765,0.0,0.8495929499999999,0.0,0.9727625999999999,2.7538726,10.598448399999999,0.0,0.5885041999999999,1.6666667,94.17264990000001,97.3960095,72.68254454999999,90.41837275,88.4925976,43.0252101,83.9920949,61.5720524
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2258065,0.0,0.97872475,0.0,0.0,0.0,4.21623845,4.0971255,8.26313545,11.5776081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1695906,0.3424658,0.0,1.4634146000000001,1.0204081999999999,0.5319149,4.924526666666666,3.3576642,19.7826087,45.06256845,4.7619048,2.2995250499999997,3.6199095,0.2567841,16.861826699999998,11.084957800000002,43.2967033,61.194352,16.4105917,0.42036914999999997,7.42475335,0.0,4.3548614,1.69563735,4.4230769,1.1006289,0.0,3.5714286,11.864406800000001,0.0,3.9370079000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6238112500000002,0.0,0.0,0.0,0.0,0.1502755,0.0,0.6779661,2.39690395,3.3647375999999998,0.0,1.9762846,0.8733624000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7241372000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9903514,9.3567251,32.8767123,1.1627907,9.756097599999999,15.3061224,0.0,0.0,0.5235602,0.9782609,0.0,0.0,0.0,0.4524887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867925,0.9708738,1.69563735,5.6730769,0.32252195,0.0,0.0,0.0,0.0,0.7874015999999999,0.1540832,0.245098,1.6393443,3.2258065,1.74418605,0.8645533000000001,0.7692308,0.3891051,1.0513048,10.526315799999999,10.679611699999999,2.01389735,13.524173050000002,0.0,0.0,0.0,0.0,0.0,0.3361345,4.4466403,0.43668120000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4694836,0.0,0.0,0.0,0.3448274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2881844,0.0,0.0,0.4040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
