orgnsm,Bedwell Eelgrass,Bedwell NonEelgrass,Fraser Eelgrass,Fraser NonEelgrass,Koeye Eelgrass,Koeye NonEelgrass,Qualicum Eelgrass,Qualicum NonEelgrass,Tahsis Eelgrass,Tahsis NonEelgrass
Appendicularia,NA,2.6390573296152584,5.097322544468084,6.348556070937762,1.0986122886681098,0.0,4.30406509320417,1.6094379124341003,4.1588830833596715,3.6720723357128096
Barnacle,NA,NA,7.66906721047117,6.11515601952417,3.295836866004329,2.0794415416798357,1.0986122886681098,3.9318256327243257,NA,NA
Bivalvia,NA,NA,NA,NA,NA,NA,NA,2.5649493574615367,NA,NA
Brachyura,0.0,NA,2.844586334202638,1.6094379124341003,0.6931471805599453,NA,3.7376696182833684,4.23410650459726,0.0,NA
Calanoid,2.1972245773362196,4.02535169073515,10.014635041319744,9.357581521629383,4.02535169073515,4.0943445622221,5.579729825986222,4.605170185988092,11.368489114552629,8.944898041792193
Caprellidea,NA,NA,NA,NA,NA,NA,4.3694478524670215,6.779921907472252,NA,NA
Cardidae,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA
Cladoceran,1.0986122886681098,1.791759469228055,8.686293471729094,8.46351115150965,3.091042453358316,2.5649493574615367,NA,2.8903717578961645,5.159055299214529,5.497168225293202
Cnetophora,NA,NA,1.55814461804655,2.5902671651958267,NA,NA,NA,NA,NA,NA
Cumacea,5.123963979403259,4.174387269895637,3.3401096896744433,NA,2.833213344056216,0.0,2.6390573296152584,5.6240175061873385,1.791759469228055,4.637960008807856
Cyclopoid,NA,NA,NA,1.7346010554469298,NA,0.0,0.0,0.6931471805599453,NA,NA
Echinoderm,NA,NA,2.1400661634962708,3.1208954166550558,0.0,NA,0.0,2.995732273553991,NA,NA
Euphausiid,NA,NA,NA,NA,0.6931471805599453,0.0,NA,NA,NA,NA
Fish Larvae,NA,NA,NA,NA,NA,NA,1.0986122886681098,1.6094379124341003,1.0986122886681098,0.0
Gammarid,3.5263605246161616,2.833213344056216,4.440033453939063,1.6094379124341003,5.214935757608986,2.70805020110221,7.824046010856292,7.6093665379542115,0.0,NA
Gastropod,NA,NA,NA,2.70805020110221,NA,NA,3.9318256327243257,3.58351893845611,NA,NA
Harpac,7.373164250184265,5.937536205082426,9.822911485061955,7.571301989782959,7.365180126021013,3.5553480614894135,4.875197323201151,3.9512437185814275,8.43511508038063,7.101950508313005
Hyperiidea,NA,NA,NA,NA,0.6931471805599453,NA,NA,NA,NA,NA
Mysida,NA,NA,4.766438333558682,2.7515353130632256,NA,NA,1.3862943611198906,1.791759469228055,0.6931471805599453,NA
Natantia,NA,NA,0.0,NA,NA,0.0,1.0986122886681098,NA,3.506557897219982,1.3862943611198906
Ostracod,NA,1.9459101490553132,NA,4.1588830833596715,5.0106352940962555,3.970291913552122,1.0986122886681098,5.459585514144159,NA,NA
Phyllodocida,3.6888794541139363,3.2188758248682006,6.034683666147352,4.773505500779137,4.2626798770413155,6.198478716492308,3.6109179126442243,7.050989447068045,4.854631045593701,4.859812404361672
Pleuronecti,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA
UK10,NA,NA,NA,NA,NA,NA,2.302585092994046,3.5553480614894135,NA,NA
UK11,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA
UK12,NA,NA,NA,NA,NA,NA,2.302585092994046,NA,NA,NA
UK13,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA
UK15,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA
UK16,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA
UK19,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA
UK21,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA
UK24,2.5649493574615367,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK25,0.0,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA
UK27,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
UK4,NA,NA,NA,3.4011973816621555,NA,NA,NA,NA,NA,NA
UK7,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA
UK8,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA
UK9,NA,NA,NA,NA,NA,NA,6.727431724850855,6.440946540632921,NA,NA
Valvifera,NA,0.6931471805599453,2.833213344056216,4.110873864173311,2.9444389791664403,1.0986122886681098,3.2188758248682006,2.6390573296152584,3.1354942159291497,2.6390573296152584
