orgnsm,Bedwell Eelgrass,Bedwell NonEelgrass,Fraser Eelgrass,Fraser NonEelgrass,Koeye Eelgrass,Koeye NonEelgrass,Qualicum Eelgrass,Qualicum NonEelgrass,Tahsis Eelgrass,Tahsis NonEelgrass
Appendicularia,NA,14.0,163.58333333,571.66666667,3.0,1.0,74.0,5.0,64.0,39.33333333
Barnacle,NA,NA,2141.0833333699998,452.6666667,27.0,8.0,3.0,51.0,NA,NA
Bivalvia,NA,NA,NA,NA,NA,NA,NA,13.0,NA,NA
Brachyura,1.0,NA,17.194444444,5.0,2.0,NA,42.0,69.0,1.0,NA
Calanoid,9.0,56.0,22351.19444448,11586.3333337,56.0,60.0,265.0,100.0,86551.0,7668.6666667
Caprellidea,NA,NA,NA,NA,NA,NA,79.0,880.0,NA,NA
Cardidae,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA
Cladoceran,3.0,6.0,5921.19444408,4738.667,22.0,13.0,NA,18.0,174.0,244.0
Cnetophora,NA,NA,4.75,13.33333333,NA,NA,NA,NA,NA,NA
Cumacea,168.0,65.0,28.222222222,NA,17.0,1.0,14.0,277.0,6.0,103.333333333
Cyclopoid,NA,NA,NA,5.666666666999999,NA,1.0,1.0,2.0,NA,NA
Echinoderm,NA,NA,8.5,22.666666669999998,1.0,NA,1.0,20.0,NA,NA
Euphausiid,NA,NA,NA,NA,2.0,1.0,NA,NA,NA,NA
Fish Larvae,NA,NA,NA,NA,NA,NA,3.0,5.0,3.0,1.0
Gammarid,34.0,17.0,84.777777777,5.0,184.0,15.0,2500.0,2017.0,1.0,NA
Gastropod,NA,NA,NA,15.0,NA,NA,51.0,36.0,NA,NA
Harpac,1592.66541,379.0,18451.6944445,1941.6666667,1580.0,35.0,131.0,52.0,4606.0,1214.3333333
Hyperiidea,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA
Mysida,NA,NA,117.499999997,15.666666667,NA,NA,4.0,6.0,2.0,NA
Natantia,NA,NA,1.0,NA,NA,1.0,3.0,NA,33.33333333,4.0
Ostracod,NA,7.0,NA,64.0,150.0,53.0,3.0,235.0,NA,NA
Phyllodocida,40.0,25.0,417.666666633,118.33333333,71.0,492.0,37.0,1154.0,128.33333333000002,129.0
Pleuronecti,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA
UK10,NA,NA,NA,NA,NA,NA,10.0,35.0,NA,NA
UK11,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA
UK12,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA
UK13,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA
UK15,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA
UK16,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA
UK19,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA
UK21,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
UK24,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK25,1.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA
UK27,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA
UK4,NA,NA,NA,30.0,NA,NA,NA,NA,NA,NA
UK7,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA
UK8,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA
UK9,NA,NA,NA,NA,NA,NA,835.0,627.0,NA,NA
Valvifera,NA,2.0,17.0,61.0,19.0,3.0,25.0,14.0,23.0,14.0
